site_no,sample_date,station_nm,sensor,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1.1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,nd52,cloud_cover,cloud_qa_count,snow_ice_qa_count,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,match_dt_start,match_dt_end,i.site_no,FID,N,agency_cd,operadora,i.Latitude,i.Longitude,NivelConsistencia,Hora,NumMedicao,DataLiq,HoraLiq,NumMedicaoLiq,Cota,Vazao,AreaMolhada,Largura,VelMedia,ConcentracaoMatSuspensao,CotaDeMedicao,TemperaturaDaAgua,ConcentracaoDaAmostraExtra,CondutividadeEletrica,sample_method,Data,lag_days,log10_SSC_mgL,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,abs_lag_days
66870000,15/04/2011,Coxim,Landsat 5,-18.50815887,-54.76266595,18,2011-04-15,360,678,804,1003,358,2942,146,1.88333333333333,1.88333333333333,2.23333333333333,2.78611111111111,0.994444444444444,0.405555555555556,1.1858407079646,1.47935103244838,0.528023598820059,0.215339233038348,1.24751243781095,0.445273631840796,0.181592039800995,0.356929212362911,0.145563310069791,0.407821229050279,-0.448529412,17,0,0,67.639175,29.341167,33,40,2011-04-15,2011-04-15,66870000,20797,20805,ANA,CPRM,-18.50777778,-54.76194444,1,10:30:00,359,15/04/2011,07:10:00,359,400,502.688,369.08,162.5,1.362,591.3,399,26.2,655.5,37.98,,,0,2.77180787899911,129600,129600,129600,129600,129600,129600,0
66870000,21/10/2010,Coxim,Landsat 5,-18.50815887,-54.76266595,15,2010-10-21,463,704,798,809,499,3036,282,1.52051835853132,1.52051835853132,1.72354211663067,1.74730021598272,1.07775377969762,0.609071274298056,1.13352272727273,1.14914772727273,0.708806818181818,0.400568181818182,1.01378446115288,0.62531328320802,0.353383458646617,0.6168108776267,0.348578491965389,0.565130260521042,-0.662728249,0,0,0,88.177147,25.486725,50,32,2010-10-21,2010-10-21,66870000,20797,20805,ANA,CPRM,-18.50777778,-54.76194444,1,12:00:00,358,21/10/2010,09:40:00,358,345,220.319,266.12,144.3,0.828,188.5,345,28.4,272.1,26.53,,,0,2.27531135454181,214369,214369,214369,214369,214369,214369,0
66845000,06/11/2013,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,5,2013-11-06,606,916,1146,1550,467,2960,254,1.51155115511551,1.51155115511551,1.89108910891089,2.55775577557756,0.770627062706271,0.419141914191419,1.25109170305677,1.69213973799127,0.509825327510917,0.277292576419214,1.35253054101222,0.407504363001745,0.221640488656195,0.301290322580645,0.163870967741935,0.54389721627409,-0.206698064,46,66,0,61.648232,38.895573,633,4,2013-11-06,2013-11-06,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 10:40,60,06/11/2013,01/01/1900 09:44,60,318,132.894,163.464,77.95,0.883,606,318,27.25,,,,,0,2.78247262416629,367236,367236,367236,367236,367236,367236,0
66800000,13/07/2018,Amolar,Landsat 7,-18.03903914,-57.488015,102,2018-07-13,332,403,363,493,269,2881,191,1.21385542168675,1.21385542168675,1.0933734939759,1.48493975903614,0.810240963855422,0.575301204819277,0.900744416873449,1.22332506203474,0.667493796526055,0.47394540942928,1.35812672176309,0.741046831955923,0.526170798898072,0.545638945233266,0.387423935091278,0.71003717472119,-0.395348837,33,0,0,40.316986,44.712265,9,32,2018-07-13,2018-07-13,66800000,20778,20786,ANA,CPRM,-18.03861111,-57.48861111,1,01/01/1900 17:20,73,13/07/2018,01/01/1900 16:36,73,664,1568.965,1835.141,226.49,0.855,37.5,664,22.6,,154.1,,,0,1.57403126772772,110224,110224,110224,110224,110224,110224,0
66800000,26/06/2012,Amolar,Landsat 7,-18.03903914,-57.488015,81,2012-06-26,203,351,499,369,93,2945,65,1.72906403940887,1.72906403940887,2.45812807881773,1.81773399014778,0.458128078817734,0.320197044334975,1.42165242165242,1.05128205128205,0.264957264957265,0.185185185185185,0.739478957915832,0.186372745490982,0.130260521042084,0.252032520325203,0.176151761517615,0.698924731182796,-0.53220339,0,0,0,62.397766,39.092972,121,32,2012-06-26,2012-06-26,66800000,20778,20786,ANA,CPRM,-18.03861111,-57.48861111,1,01/01/1900 15:40,53,26/06/2012,01/01/1900 17:00,53,577,1429.652,1691.8,222.3,0.862,51.3,577,25.1,,24.7,,,0,1.71011736511182,41209,41209,41209,41209,41209,41209,0
66870000,29/06/2009,Coxim,Landsat 5,-18.50815887,-54.76266595,17,2009-06-28,347,607,610,646,378,2933,185,1.7492795389049,1.7492795389049,1.75792507204611,1.86167146974063,1.08933717579251,0.53314121037464,1.00494233937397,1.06425041186161,0.622734761120264,0.304777594728171,1.05901639344262,0.619672131147541,0.30327868852459,0.585139318885449,0.286377708978328,0.489417989417989,-0.532467532,0,0,0,50.043522,43.013325,9,40,2009-06-29,2009-06-29,66870000,20797,20805,ANA,CPRM,-18.50777778,-54.76194444,1,11:41:00,355,29/06/2009,09:00:00,355,347,252,248,143,1.048,562.7,347,23.5,772.4,35.07,,,1,2.75027691515399,120409,120409,120409,120409,120409,120409,1
66845000,16/04/2014,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,12,2014-04-15,733,915,1178,1750,645,2918,298,1.24829467939973,1.24829467939973,1.60709413369714,2.38744884038199,0.879945429740791,0.406548431105048,1.28743169398907,1.91256830601093,0.704918032786885,0.32568306010929,1.48556876061121,0.547538200339559,0.252971137521222,0.368571428571429,0.170285714285714,0.462015503875969,-0.299270073,70,1,0,43.492481,43.206238,9,0,2014-04-16,2014-04-16,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:12,61,16/04/2014,01/01/1900 10:47,61,373,230.94,185.4,78.33,1.244,667,371,27.33,,,,,1,2.82412583391655,537289,537289,537289,537289,537289,537289,1
66845000,03/08/2013,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,12,2013-08-02,366,631,585,620,377,2950,151,1.72404371584699,1.72404371584699,1.59836065573771,1.69398907103825,1.03005464480874,0.412568306010929,0.927099841521395,0.98256735340729,0.597464342313788,0.239302694136292,1.05982905982906,0.644444444444445,0.258119658119658,0.608064516129032,0.243548387096774,0.40053050397878,-0.231343383,0,0,0,53.077465,36.041512,23,8,2013-08-03,2013-08-03,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:18,59,03/08/2013,01/01/1900 11:57,59,278,115.29,139.34,75.68,0.827,189,278,23.7,,,,,1,2.27646180417324,133956,133956,133956,133956,133956,133956,1
66845000,18/10/2010,Pedro Gomes,Landsat 5,-18.16553046,-54.47137071,117,2010-10-19,659,1003,1054,832,378.8465555,2947,249,1.52200303490137,1.52200303490137,1.59939301972686,1.26251896813354,0.574880964339909,0.377845220030349,1.05084745762712,0.82951146560319,0.377713415254237,0.248255234297109,0.789373814041746,0.359436959677419,0.236242884250474,0.455344417668269,0.299278846153846,0.6572581864216,-0.258426966,0,0,0,41.278336,53.293953,9,32,2010-10-18,2010-10-18,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 13:20,50,18/10/2010,01/01/1900 10:40,50,287,110.67,149.34,75.1,0.741,114.36,287,27.6,67.82,25.9,,,-1,2.05827414668595,434281,434281,434281,434281,434281,434281,1
66845000,25/08/2008,Pedro Gomes,Landsat 5,-18.16553046,-54.47137071,126,2008-08-26,406,681,621,423,133,2973,66,1.67733990147783,1.67733990147783,1.52955665024631,1.04187192118227,0.327586206896552,0.16256157635468,0.911894273127753,0.621145374449339,0.195301027900147,0.0969162995594714,0.681159420289855,0.214170692431562,0.106280193236715,0.314420803782506,0.156028368794326,0.496240601503759,-0.369545859,0,0,0,45.705269,53.614262,9,32,2008-08-25,2008-08-25,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:00,46,25/08/2008,01/01/1900 09:40,46,276,112,141,74.7,0.79,199.92,276,25.8,148.09,37,,,-1,2.30085624311839,164836,164836,164836,164836,164836,164836,1
