site_no,sample_date,station_nm,sensor,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1.1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,match_dt_start,match_dt_end,EstacaoCodigo,Data,Hora,Largura,ConcentracaoMatSuspensao,lag_days,log10_SSC_mgL,abs_lag_days,cluster,cluster_sel,ssc_category,holdout25,pred_gl,res_gl,pred_cl,res_cl,pred_st,res_st,ssc_subset
66070004,22/08/2015,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,60,2015-08-22,542,798,770,462,204,2975,135,1.4723247232472325,1.4723247232472325,1.4206642066420665,0.8523985239852399,0.3763837638376384,0.24907749077490776,0.9649122807017544,0.5789473684210527,0.2556390977443609,0.16917293233082706,0.6,0.2649350649350649,0.17532467532467533,0.44155844155844154,0.2922077922077922,0.6617647058823529,293764,636804,592900,213444,41616,18225,-0.6011730205278593,1,2015-08-22,2015-08-22,66070004,22/08/2015,01/01/1900 16:11,235.57,26.7,0,1.4265112613645752,0,1,1,0-250,holdout,NA,NA,1.4969882949782898,NA,NA,NA,1
66070004,31/07/2019,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,83,2019-08-01,546.9999999999999,806,763.9999999999999,430,202,2955,120,1.4734917733089583,1.4734917733089583,1.3967093235831811,0.7861060329067643,0.3692870201096893,0.21937842778793423,0.9478908188585606,0.533498759305211,0.2506203473945409,0.1488833746898263,0.5628272251308901,0.26439790575916233,0.15706806282722516,0.4697674418604651,0.27906976744186046,0.594059405940594,299208.9999999999,649636,583695.9999999999,184900,40804,14400,-0.608754511958096,16,2019-07-31,2019-07-31,66070004,31/07/2019,01/01/1900 14:00,234,23.7,-1,1.3747483460101038,1,1,1,0-250,holdout,NA,NA,1.4685172052515627,NA,NA,NA,1
66070004,27/06/2012,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,87,2012-06-26,405.00000000000006,704,741.0000000000001,359,121.00000000000001,2945,62.99999999999999,1.7382716049382714,1.7382716049382714,1.8296296296296297,0.8864197530864196,0.29876543209876544,0.1555555555555555,1.0525568181818183,0.5099431818181818,0.17187500000000003,0.08948863636363635,0.4844804318488528,0.1632928475033738,0.08502024291497974,0.3370473537604457,0.17548746518105848,0.5206611570247933,164025.00000000006,495616,549081.0000000001,128881,14641.000000000004,3968.999999999999,-0.7066666666666667,0,2012-06-27,2012-06-27,66070004,27/06/2012,01/01/1900 11:40,237.06,27.1,1,1.4329692908744058,1,1,1,0-250,holdout,NA,NA,1.585111776613135,NA,NA,NA,1
66070004,03/07/2009,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,77,2009-07-04,488,794,797,514,278,2939,162,1.6270491803278688,1.6270491803278688,1.6331967213114753,1.0532786885245902,0.569672131147541,0.3319672131147541,1.0037783375314862,0.6473551637279596,0.3501259445843829,0.2040302267002519,0.644918444165621,0.34880803011292344,0.20326223337515684,0.5408560311284046,0.3151750972762646,0.5827338129496403,238144,630436,635209,264196,77284,26244,-0.4936247723132969,2,2009-07-03,2009-07-03,66070004,03/07/2009,01/01/1900 11:50,234.02,28.98,-1,1.4620983811351558,1,1,1,0-250,holdout,NA,NA,1.6924620724941182,NA,NA,NA,1
66070004,10/06/2000,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,86,2000-06-09,533,845.9999999999999,845.0000000000001,543,303,2929,191,1.5872420262664162,1.5872420262664162,1.5853658536585369,1.0187617260787993,0.5684803001876173,0.35834896810506567,0.9988179669030736,0.6418439716312058,0.3581560283687944,0.22576832151300238,0.6426035502958579,0.3585798816568047,0.22603550295857985,0.5580110497237569,0.35174953959484345,0.6303630363036303,284089,715715.9999999998,714025.0000000002,294849,91809,36481,-0.4846938775510204,3,2000-06-10,2000-06-10,66070004,10/06/2000,01/01/1900 12:20,220.66,37.65,1,1.5757649805367193,1,1,1,0-250,holdout,NA,NA,1.688244216366252,NA,NA,NA,1
66070004,16/04/2010,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,91,2010-04-18,344,481,467,461,255,2929,162,1.3982558139534884,1.3982558139534884,1.3575581395348837,1.3401162790697674,0.7412790697674418,0.47093023255813954,0.9708939708939709,0.9584199584199584,0.5301455301455301,0.3367983367983368,0.987152034261242,0.5460385438972163,0.3468950749464668,0.5531453362255966,0.351409978308026,0.6352941176470588,118336,231361,218089,212521,65025,26244,-0.3070652173913043,1,2010-04-16,2010-04-16,66070004,16/04/2010,01/01/1900 14:20,252.68,10.306,-2,1.0130901381250559,2,1,1,0-250,holdout,NA,NA,1.459468344671797,NA,NA,NA,1
66070004,09/07/2007,CAÂCERES (DNPVN),Landsat 5,-16.074096131844847,-57.7016460744972,93,2007-07-07,496,834,742,408,189,2951,125,1.6814516129032258,1.6814516129032258,1.4959677419354838,0.8225806451612904,0.3810483870967742,0.25201612903225806,0.8896882494004796,0.4892086330935252,0.22661870503597123,0.1498800959232614,0.5498652291105122,0.25471698113207547,0.16846361185983827,0.4632352941176471,0.30637254901960786,0.6613756613756614,246016,695556,550564,166464,35721,15625,-0.6304985337243402,0,2007-07-09,2007-07-09,66070004,09/07/2007,01/01/1900 13:00,231.25,25.63,2,1.408748606184244,2,1,1,0-250,holdout,NA,NA,1.4476242609167136,NA,NA,NA,1
66070004,29/04/2003,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,81,2003-05-01,263,420,405.00000000000006,263,105,2980,84,1.596958174904943,1.596958174904943,1.5399239543726237,1,0.39923954372623577,0.3193916349809886,0.9642857142857144,0.6261904761904762,0.25,0.2,0.6493827160493826,0.25925925925925924,0.20740740740740737,0.39923954372623577,0.3193916349809886,0.8,69169,176400,164025.00000000006,69169,11025,7056,-0.6007646775609619,0,2003-04-29,2003-04-29,66070004,29/04/2003,01/01/1900 13:25,237.04,123.3,-2,2.0909630765957314,2,1,1,0-250,holdout,NA,NA,1.3199389751155008,NA,NA,NA,1
66070004,11/04/2018,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,91,2018-04-08,258,399.00000000000006,378.1578947368421,348,142,2945,74.99721518987342,1.546511627906977,1.546511627906977,1.4657282741738065,1.3488372093023255,0.5503875968992248,0.2906868805809047,0.9477641472101304,0.8721804511278194,0.35588972431077687,0.18796294533802857,0.9202505219206681,0.37550452331245654,0.19832248971574043,0.40804597701149425,0.21550923905136038,0.5281494027455874,66564,159201.00000000006,143003.39335180054,121104,20164,5624.58228623618,-0.4758384484235725,15,2018-04-11,2018-04-11,66070004,11/04/2018,01/01/1900 12:30,252.57,10.4,3,1.0170333392987803,3,1,1,0-250,holdout,NA,NA,1.330608524329735,NA,NA,NA,1
66070004,11/08/2016,CAÂCERES (DNPVN),Landsat 7,-16.074096131844847,-57.7016460744972,57,2016-08-08,651,869,811,520,239,2965,138,1.3348694316436251,1.3348694316436251,1.2457757296466974,0.7987711213517665,0.3671274961597542,0.2119815668202765,0.9332566168009206,0.5983889528193326,0.27502876869965476,0.15880322209436135,0.6411837237977805,0.29469790382244143,0.17016029593094945,0.4596153846153846,0.2653846153846154,0.5774058577405857,423801,755161,657721,270400,57121,19044,-0.58578856152513,0,2016-08-11,2016-08-11,66070004,11/08/2016,01/01/1900 09:42,232,19.4,3,1.287801729930226,3,1,1,0-250,holdout,NA,NA,1.4226602940411914,NA,NA,NA,1
